id;Gemeente;Screening;Percentage;
262;Lochem;Baarmoederhalskanker 2024;63,4;
279;Scherpenzeel;Baarmoederhalskanker 2024;63,3;
1982;Land van Cuijk;Baarmoederhalskanker 2024;63,2;
944;Mook en Middelaar;Baarmoederhalskanker 2024;63,2;
147;Borne;Baarmoederhalskanker 2024;63,1;
385;Edam-Volendam;Baarmoederhalskanker 2024;63,1;
971;Stein;Baarmoederhalskanker 2024;63,1;
1728;Bladel;Baarmoederhalskanker 2024;63;
502;Capelle aan den IJssel;Borstkanker 2022-2024;63;
1714;Sluis;Borstkanker 2022-2024;63;
213;Brummen;Baarmoederhalskanker 2024;62,9;
221;Doesburg;Baarmoederhalskanker 2024;62,9;
392;Haarlem;Darmkanker 2024;62,9;
1586;Oost Gelre;Baarmoederhalskanker 2024;62,9;
865;Vught;Baarmoederhalskanker 2024;62,9;
1991;Maashorst;Baarmoederhalskanker 2024;62,7;
1950;Westerwolde;Darmkanker 2024;62,7;
473;Zandvoort;Darmkanker 2024;62,7;
225;Druten;Baarmoederhalskanker 2024;62,6;
553;Lisse;Baarmoederhalskanker 2024;62,6;
622;Vlaardingen;Darmkanker 2024;62,6;
1896;Zwartewaterland;Baarmoederhalskanker 2024;62,6;
244;Hattem;Baarmoederhalskanker 2024;62,5;
917;Heerlen;Borstkanker 2022-2024;62,5;
119;Meppel;Baarmoederhalskanker 2024;62,5;
1926;Pijnacker-Nootdorp;Baarmoederhalskanker 2024;62,5;
34;Almere;Darmkanker 2024;62,4;
1652;Gemert-Bakel;Baarmoederhalskanker 2024;62,4;
757;Boxtel;Baarmoederhalskanker 2024;62,3;
736;De Ronde Venen;Baarmoederhalskanker 2024;62,3;
762;Deurne;Baarmoederhalskanker 2024;62,3;
1963;Hoeksche Waard;Baarmoederhalskanker 2024;62,3;
1700;Twenterand;Baarmoederhalskanker 2024;62,3;
160;Hardenberg;Baarmoederhalskanker 2024;62,2;
858;Valkenswaard;Baarmoederhalskanker 2024;62,2;
1948;Meierijstad;Baarmoederhalskanker 2024;62,1;
603;Rijswijk;Darmkanker 2024;62,1;
986;Voerendaal;Baarmoederhalskanker 2024;62,1;
1969;Westerkwartier;Baarmoederhalskanker 2024;62,1;
317;Eemnes;Baarmoederhalskanker 2024;62;
779;Geertruidenberg;Baarmoederhalskanker 2024;62;
158;Haaksbergen;Baarmoederhalskanker 2024;62;
840;Rucphen;Baarmoederhalskanker 2024;61,9;
384;Diemen;Darmkanker 2024;61,8;
995;Lelystad;Borstkanker 2022-2024;61,8;
1681;Borger-Odoorn;Baarmoederhalskanker 2024;61,7;
928;Kerkrade;Borstkanker 2022-2024;61,7;
417;Laren;Baarmoederhalskanker 2024;61,7;
184;Urk;Darmkanker 2024;61,7;
917;Heerlen;Darmkanker 2024;61,6;
1640;Leudal;Baarmoederhalskanker 2024;61,6;
765;Pekela;Darmkanker 2024;61,6;
606;Schiedam;Borstkanker 2022-2024;61,6;
1859;Berkelland;Baarmoederhalskanker 2024;61,5;
569;Nieuwkoop;Baarmoederhalskanker 2024;61,5;
737;Tytsjerksteradiel;Baarmoederhalskanker 2024;61,5;
1696;Wijdemeren;Baarmoederhalskanker 2024;61,5;
168;Losser;Baarmoederhalskanker 2024;61,3;
1641;Maasgouw;Baarmoederhalskanker 2024;61,2;
852;Waterland;Baarmoederhalskanker 2024;61,2;
1621;Lansingerland;Baarmoederhalskanker 2024;61,1;
60;Ameland;Baarmoederhalskanker 2024;61;
1940;De Fryske Marren;Baarmoederhalskanker 2024;61;
232;Epe;Baarmoederhalskanker 2024;61;
397;Heemstede;Baarmoederhalskanker 2024;61;
1931;Krimpenerwaard;Baarmoederhalskanker 2024;61;
1955;Montferland;Baarmoederhalskanker 2024;61;
1900;S̼dwest-Frysl̢n;Baarmoederhalskanker 2024;61;
344;Utrecht;Borstkanker 2022-2024;61;
880;Wormerland;Baarmoederhalskanker 2024;61;
313;Bunschoten;Baarmoederhalskanker 2024;60,9;
766;Dongen;Baarmoederhalskanker 2024;60,9;
626;Voorschoten;Baarmoederhalskanker 2024;60,9;
1680;Aa en Hunze;Baarmoederhalskanker 2024;60,8;
246;Heerde;Baarmoederhalskanker 2024;60,8;
547;Leiderdorp;Baarmoederhalskanker 2024;60,8;
299;Zevenaar;Baarmoederhalskanker 2024;60,8;
72;Harlingen;Baarmoederhalskanker 2024;60,7;
267;Nijkerk;Baarmoederhalskanker 2024;60,6;
294;Winterswijk;Baarmoederhalskanker 2024;60,5;
344;Utrecht;Darmkanker 2024;60,3;
243;Harderwijk;Baarmoederhalskanker 2024;60,2;
86;Opsterland;Baarmoederhalskanker 2024;60,2;
193;Zwolle;Baarmoederhalskanker 2024;60,2;
1954;Beekdaelen;Baarmoederhalskanker 2024;60,1;
498;Drechterland;Baarmoederhalskanker 2024;60,1;
74;Heerenveen;Baarmoederhalskanker 2024;60,1;
327;Leusden;Baarmoederhalskanker 2024;60,1;
809;Loon op Zand;Baarmoederhalskanker 2024;60,1;
1731;Midden-Drenthe;Baarmoederhalskanker 2024;60,1;
632;Woerden;Baarmoederhalskanker 2024;60,1;
743;Asten;Baarmoederhalskanker 2024;60;
118;Hoogeveen;Baarmoederhalskanker 2024;60;
866;Waalre;Baarmoederhalskanker 2024;60;
226;Duiven;Baarmoederhalskanker 2024;59,9;
353;IJsselstein;Baarmoederhalskanker 2024;59,9;
268;Nijmegen;Baarmoederhalskanker 2024;59,9;
1970;Noardeast-Frysl̢n;Baarmoederhalskanker 2024;59,9;
531;Hendrik-Ido-Ambacht;Baarmoederhalskanker 2024;59,8;
173;Oldenzaal;Baarmoederhalskanker 2024;59,8;
848;Son en Breugel;Baarmoederhalskanker 2024;59,8;
106;Assen;Baarmoederhalskanker 2024;59,7;
1655;Halderberge;Baarmoederhalskanker 2024;59,7;
797;Heusden;Baarmoederhalskanker 2024;59,7;
537;Katwijk;Baarmoederhalskanker 2024;59,7;
1942;Gooise Meren;Baarmoederhalskanker 2024;59,6;
1709;Moerdijk;Baarmoederhalskanker 2024;59,6;
269;Oldebroek;Baarmoederhalskanker 2024;59,6;
1581;Utrechtse Heuvelrug;Baarmoederhalskanker 2024;59,6;
1721;Bernheze;Baarmoederhalskanker 2024;59,5;
606;Schiedam;Darmkanker 2024;59,5;
1701;Westerveld;Baarmoederhalskanker 2024;59,5;
1891;Dantumadiel;Baarmoederhalskanker 2024;59,4;
489;Barendrecht;Baarmoederhalskanker 2024;59,3;
654;Borsele;Baarmoederhalskanker 2024;59,3;
331;Lopik;Baarmoederhalskanker 2024;59,3;
301;Zutphen;Baarmoederhalskanker 2024;59,3;
796;s-Hertogenbosch;Baarmoederhalskanker 2024;59,2;
753;Best;Baarmoederhalskanker 2024;59,1;
233;Ermelo;Baarmoederhalskanker 2024;59,1;
534;Hillegom;Baarmoederhalskanker 2024;59,1;
222;Doetinchem;Baarmoederhalskanker 2024;59;
678;Kapelle;Baarmoederhalskanker 2024;59;
995;Lelystad;Darmkanker 2024;59;
175;Ommen;Baarmoederhalskanker 2024;59;
532;Stede Broec;Baarmoederhalskanker 2024;59;
1708;Steenwijkerland;Baarmoederhalskanker 2024;59;
308;Baarn;Baarmoederhalskanker 2024;58,9;
373;Bergen (NH);Baarmoederhalskanker 2024;58,9;
861;Veldhoven;Baarmoederhalskanker 2024;58,9;
109;Coevorden;Baarmoederhalskanker 2024;58,8;
150;Deventer;Baarmoederhalskanker 2024;58,8;
1711;Echt-Susteren;Baarmoederhalskanker 2024;58,8;
396;Heemskerk;Baarmoederhalskanker 2024;58,8;
1966;Het Hogeland;Baarmoederhalskanker 2024;58,8;
166;Kampen;Baarmoederhalskanker 2024;58,8;
928;Kerkrade;Darmkanker 2024;58,8;
1669;Roerdalen;Baarmoederhalskanker 2024;58,8;
1724;Bergeijk;Baarmoederhalskanker 2024;58,7;
216;Culemborg;Baarmoederhalskanker 2024;58,7;
590;Papendrecht;Baarmoederhalskanker 2024;58,7;
307;Amersfoort;Baarmoederhalskanker 2024;58,6;
1901;Bodegraven-Reeuwijk;Baarmoederhalskanker 2024;58,6;
777;Etten-Leur;Baarmoederhalskanker 2024;58,6;
448;Texel;Baarmoederhalskanker 2024;58,6;
203;Barneveld;Baarmoederhalskanker 2024;58,5;
1771;Geldrop-Mierlo;Baarmoederhalskanker 2024;58,5;
302;Nunspeet;Baarmoederhalskanker 2024;58,5;
889;Beesel;Baarmoederhalskanker 2024;58,4;
342;Soest;Baarmoederhalskanker 2024;58,4;
1892;Zuidplas;Baarmoederhalskanker 2024;58,4;
85;Ooststellingwerf;Baarmoederhalskanker 2024;58,3;
984;Venray;Baarmoederhalskanker 2024;58,3;
664;Goes;Baarmoederhalskanker 2024;58,2;
274;Renkum;Baarmoederhalskanker 2024;58,2;
484;Alphen aan den Rijn;Baarmoederhalskanker 2024;58,1;
431;Oostzaan;Baarmoederhalskanker 2024;58,1;
599;Rotterdam;Borstkanker 2022-2024;58,1;
1992;Voorne aan Zee;Baarmoederhalskanker 2024;58,1;
613;Albrandswaard;Baarmoederhalskanker 2024;57,9;
1980;Dijk en Waard;Baarmoederhalskanker 2024;57,9;
228;Ede;Baarmoederhalskanker 2024;57,9;
1978;Molenlanden;Baarmoederhalskanker 2024;57,9;
1676;Schouwen-Duiveland;Baarmoederhalskanker 2024;57,9;
579;Oegstgeest;Baarmoederhalskanker 2024;57,8;
361;Alkmaar;Baarmoederhalskanker 2024;57,7;
523;Hardinxveld-Giessendam;Baarmoederhalskanker 2024;57,7;
405;Hoorn;Baarmoederhalskanker 2024;57,7;
275;Rheden;Baarmoederhalskanker 2024;57,7;
441;Schagen;Baarmoederhalskanker 2024;57,7;
717;Veere;Baarmoederhalskanker 2024;57,7;
1961;Vijfheerenlanden;Baarmoederhalskanker 2024;57,7;
1924;Goeree-Overflakkee;Baarmoederhalskanker 2024;57,6;
432;Opmeer;Baarmoederhalskanker 2024;57,6;
826;Oosterhout;Baarmoederhalskanker 2024;57,5;
90;Smallingerland;Baarmoederhalskanker 2024;57,5;
1904;Stichtse Vecht;Baarmoederhalskanker 2024;57,5;
47;Veendam;Baarmoederhalskanker 2024;57,5;
453;Velsen;Baarmoederhalskanker 2024;57,5;
888;Beek;Baarmoederhalskanker 2024;57,4;
214;Buren;Baarmoederhalskanker 2024;57,4;
1719;Drimmelen;Baarmoederhalskanker 2024;57,4;
415;Landsmeer;Baarmoederhalskanker 2024;57,3;
575;Noordwijk;Baarmoederhalskanker 2024;57,3;
310;De Bilt;Baarmoederhalskanker 2024;57,2;
828;Oss;Baarmoederhalskanker 2024;57,2;
164;Hengelo (O);Baarmoederhalskanker 2024;57,1;
946;Nederweert;Baarmoederhalskanker 2024;57,1;
340;Rhenen;Baarmoederhalskanker 2024;57,1;
351;Woudenberg;Baarmoederhalskanker 2024;57,1;
994;Valkenburg aan de Geul;Baarmoederhalskanker 2024;57;
758;Breda;Baarmoederhalskanker 2024;56,9;
114;Emmen;Baarmoederhalskanker 2024;56,9;
907;Gennep;Baarmoederhalskanker 2024;56,9;
542;Krimpen aan den IJssel;Baarmoederhalskanker 2024;56,9;
339;Renswoude;Baarmoederhalskanker 2024;56,9;
345;Veenendaal;Baarmoederhalskanker 2024;56,9;
406;Huizen;Baarmoederhalskanker 2024;56,8;
824;Oisterwijk;Baarmoederhalskanker 2024;56,8;
355;Zeist;Baarmoederhalskanker 2024;56,8;
200;Apeldoorn;Baarmoederhalskanker 2024;56,7;
899;Brunssum;Baarmoederhalskanker 2024;56,7;
1979;Eemsdelta;Baarmoederhalskanker 2024;56,7;
597;Ridderkerk;Baarmoederhalskanker 2024;56,7;
879;Zundert;Baarmoederhalskanker 2024;56,7;
1740;Neder-Betuwe;Baarmoederhalskanker 2024;56,6;
1949;Waadhoeke;Baarmoederhalskanker 2024;56,6;
230;Elburg;Baarmoederhalskanker 2024;56,5;
14;Groningen;Baarmoederhalskanker 2024;56,5;
1895;Oldambt;Baarmoederhalskanker 2024;56,5;
482;Alblasserdam;Baarmoederhalskanker 2024;56,4;
518;s-Gravenhage;Borstkanker 2022-2024;56,4;
981;Vaals;Darmkanker 2024;56,3;
687;Middelburg;Baarmoederhalskanker 2024;56,2;
437;Ouder-Amstel;Baarmoederhalskanker 2024;56,2;
184;Urk;Borstkanker 2022-2024;56,2;
59;Achtkarspelen;Baarmoederhalskanker 2024;56,1;
1883;Sittard-Geleen;Baarmoederhalskanker 2024;56,1;
363;Amsterdam;Borstkanker 2022-2024;56;
388;Enkhuizen;Baarmoederhalskanker 2024;56;
98;Weststellingwerf;Baarmoederhalskanker 2024;56;
882;Landgraaf;Baarmoederhalskanker 2024;55,9;
988;Weert;Baarmoederhalskanker 2024;55,9;
716;Tholen;Baarmoederhalskanker 2024;55,8;
1959;Altena;Baarmoederhalskanker 2024;55,6;
627;Waddinxveen;Baarmoederhalskanker 2024;55,6;
1960;West Betuwe;Baarmoederhalskanker 2024;55,4;
376;Blaricum;Baarmoederhalskanker 2024;55,3;
599;Rotterdam;Darmkanker 2024;55,3;
851;Steenbergen;Baarmoederhalskanker 2024;55,3;
512;Gorinchem;Baarmoederhalskanker 2024;55,1;
1952;Midden-Groningen;Baarmoederhalskanker 2024;55;
277;Rozendaal;Baarmoederhalskanker 2024;55;
518;s-Gravenhage;Darmkanker 2024;54,8;
80;Leeuwarden;Baarmoederhalskanker 2024;54,6;
363;Amsterdam;Darmkanker 2024;54,5;
439;Purmerend;Baarmoederhalskanker 2024;54,4;
344;Utrecht;Baarmoederhalskanker 2024;54,2;
981;Vaals;Borstkanker 2022-2024;54,1;
263;Maasdriel;Baarmoederhalskanker 2024;54;
642;Zwijndrecht;Baarmoederhalskanker 2024;54;
400;Den Helder;Baarmoederhalskanker 2024;53,9;
1783;Westland;Baarmoederhalskanker 2024;53,8;
153;Enschede;Baarmoederhalskanker 2024;53,7;
420;Medemblik;Baarmoederhalskanker 2024;53,7;
556;Maassluis;Baarmoederhalskanker 2024;53,4;
546;Leiden;Baarmoederhalskanker 2024;53,3;
637;Zoetermeer;Baarmoederhalskanker 2024;53,3;
513;Gouda;Baarmoederhalskanker 2024;53,2;
392;Haarlem;Baarmoederhalskanker 2024;53,2;
610;Sliedrecht;Baarmoederhalskanker 2024;53,2;
37;Stadskanaal;Baarmoederhalskanker 2024;53,1;
748;Bergen op Zoom;Baarmoederhalskanker 2024;52,9;
202;Arnhem;Baarmoederhalskanker 2024;52,8;
1930;Nissewaard;Baarmoederhalskanker 2024;52,7;
1916;Leidschendam-Voorburg;Baarmoederhalskanker 2024;52,6;
356;Nieuwegein;Baarmoederhalskanker 2024;52,6;
855;Tilburg;Baarmoederhalskanker 2024;52,6;
744;Baarle-Nassau;Baarmoederhalskanker 2024;52,5;
1674;Roosendaal;Baarmoederhalskanker 2024;52,5;
794;Helmond;Baarmoederhalskanker 2024;52,4;
1507;Horst aan de Maas;Baarmoederhalskanker 2024;52,2;
1894;Peel en Maas;Baarmoederhalskanker 2024;52,2;
983;Venlo;Baarmoederhalskanker 2024;52,1;
141;Almelo;Baarmoederhalskanker 2024;52;
303;Dronten;Baarmoederhalskanker 2024;51,8;
1598;Koggenland;Baarmoederhalskanker 2024;51,7;
867;Waalwijk;Baarmoederhalskanker 2024;51,7;
180;Staphorst;Baarmoederhalskanker 2024;51,6;
394;Haarlemmermeer;Baarmoederhalskanker 2024;51,5;
50;Zeewolde;Baarmoederhalskanker 2024;51,4;
1911;Hollands Kroon;Baarmoederhalskanker 2024;51,2;
402;Hilversum;Baarmoederhalskanker 2024;51,1;
873;Woensdrecht;Baarmoederhalskanker 2024;51,1;
765;Pekela;Baarmoederhalskanker 2024;50,9;
703;Reimerswaal;Baarmoederhalskanker 2024;50,8;
281;Tiel;Baarmoederhalskanker 2024;50,8;
473;Zandvoort;Baarmoederhalskanker 2024;50,8;
93;Terschelling;Baarmoederhalskanker 2024;50,5;
171;Noordoostpolder;Baarmoederhalskanker 2024;50,4;
957;Roermond;Baarmoederhalskanker 2024;50,4;
718;Vlissingen;Baarmoederhalskanker 2024;50,4;
297;Zaltbommel;Baarmoederhalskanker 2024;50,4;
375;Beverwijk;Baarmoederhalskanker 2024;50,3;
677;Hulst;Baarmoederhalskanker 2024;50,2;
505;Dordrecht;Baarmoederhalskanker 2024;49,7;
1695;Noord-Beveland;Baarmoederhalskanker 2024;49,7;
935;Maastricht;Baarmoederhalskanker 2024;49,6;
358;Aalsmeer;Baarmoederhalskanker 2024;49,5;
603;Rijswijk;Baarmoederhalskanker 2024;49,2;
479;Zaanstad;Baarmoederhalskanker 2024;49,1;
784;Gilze en Rijen;Baarmoederhalskanker 2024;48,8;
289;Wageningen;Baarmoederhalskanker 2024;48,8;
1714;Sluis;Baarmoederhalskanker 2024;48,7;
384;Diemen;Baarmoederhalskanker 2024;48,6;
503;Delft;Baarmoederhalskanker 2024;48,4;
451;Uithoorn;Baarmoederhalskanker 2024;48,4;
502;Capelle aan den IJssel;Baarmoederhalskanker 2024;48,3;
772;Eindhoven;Baarmoederhalskanker 2024;48,3;
629;Wassenaar;Baarmoederhalskanker 2024;48;
917;Heerlen;Baarmoederhalskanker 2024;47,8;
622;Vlaardingen;Baarmoederhalskanker 2024;46,9;
184;Urk;Baarmoederhalskanker 2024;46,8;
715;Terneuzen;Baarmoederhalskanker 2024;46;
34;Almere;Baarmoederhalskanker 2024;45,4;
606;Schiedam;Baarmoederhalskanker 2024;45,2;
88;Schiermonnikoog;Baarmoederhalskanker 2024;45,2;
995;Lelystad;Baarmoederhalskanker 2024;45,1;
363;Amsterdam;Baarmoederhalskanker 2024;44,4;
928;Kerkrade;Baarmoederhalskanker 2024;43,3;
362;Amstelveen;Baarmoederhalskanker 2024;42,6;
599;Rotterdam;Baarmoederhalskanker 2024;42,6;
96;Vlieland;Baarmoederhalskanker 2024;42,6;
518;s-Gravenhage;Baarmoederhalskanker 2024;40,6;
1950;Westerwolde;Baarmoederhalskanker 2024;40,1;
1706;Cranendonck;Baarmoederhalskanker 2024;38,5;
981;Vaals;Baarmoederhalskanker 2024;34,3;